Station_ID_C,PositionName,Year,mon,day,Hour,aqi,CO,NO2,O3,PM10,PM2_5,SO2
1790A,龙凤区,2026,4,23,21,42.0,0.2,8.0,69.0,42.0,28.0,4.0
1791A,红岗区,2026,4,23,21,32.0,0.5,7.0,66.0,32.0,21.0,12.0
1792A,萨尔图区,2026,4,23,21,31.0,0.3,8.0,75.0,31.0,21.0,6.0
1793A,让胡路区,2026,4,23,21,33.0,0.3,14.0,69.0,33.0,21.0,1.0
3481A,萨区政府监测点,2026,4,23,21,0.0,0.3,2.0,0.0,0.0,0.0,8.0
1723A,云冈宾馆,2026,4,23,21,99.0,0.7,55.0,56.0,118.0,37.0,9.0
1724A,大同大学,2026,4,23,21,64.0,0.6,52.0,60.0,65.0,42.0,4.0
1725A,安家小村,2026,4,23,21,78.0,0.3,25.0,90.0,88.0,27.0,8.0
3282A,大同市卫生学校,2026,4,23,21,91.0,0.7,53.0,51.0,107.0,46.0,5.0
3565A,云冈站,2026,4,23,21,80.0,0.3,32.0,53.0,92.0,27.0,8.0
3566A,图书馆,2026,4,23,21,74.0,0.7,11.0,58.0,83.0,28.0,4.0
3567A,区一中,2026,4,23,21,78.0,0.9,22.0,75.0,88.0,39.0,2.0
4199A,魏都大道141号,2026,4,23,21,112.0,0.6,73.0,31.0,127.0,73.0,15.0
2269A,科技局,2026,4,23,21,23.0,0.2,3.0,70.0,23.0,10.0,5.0
3663A,红旗社区,2026,4,23,21,25.0,0.2,8.0,80.0,12.0,10.0,11.0
1600A,江湾东路,2026,4,23,21,65.0,0.7,50.0,53.0,71.0,35.0,6.0
1601A,临江后街,2026,4,23,21,89.0,1.2,26.0,64.0,104.0,45.0,16.0
1602A,元宝山,2026,4,23,21,40.0,0.4,14.0,105.0,40.0,17.0,8.0
1603A,民主桥,2026,4,23,21,69.0,0.8,25.0,86.0,76.0,35.0,11.0
3541A,第一中学子站,2026,4,23,21,53.0,0.6,10.0,40.0,53.0,33.0,4.0
3542A,东坡学校子站,2026,4,23,21,50.0,0.7,10.0,42.0,50.0,35.0,2.0
2616A,德宏州监测站,2026,4,23,21,82.0,0.8,27.0,53.0,53.0,51.0,5.0
3677A,芒市人民政府综合楼,2026,4,23,21,84.0,1.3,17.0,59.0,80.0,52.0,2.0
1901A,东山公园,2026,4,23,21,59.0,0.5,12.0,130.0,62.0,34.0,4.0
1902A,西小区,2026,4,23,21,67.0,0.7,35.0,102.0,73.0,35.0,4.0
1904A,耐火材料厂,2026,4,23,21,70.0,0.5,47.0,106.0,77.0,38.0,2.0
4145A,市林业局,2026,4,23,21,60.0,0.5,42.0,97.0,64.0,36.0,2.0
1622A,儿童乐园,2026,4,23,21,62.0,0.5,17.0,105.0,66.0,24.0,7.0
1624A,监理站,2026,4,23,21,63.0,0.4,19.0,100.0,68.0,20.0,9.0
3066A,九衢泉纯净水厂,2026,4,23,21,55.0,0.6,26.0,97.0,56.0,17.0,19.0
3371A,开发区人民医院,2026,4,23,21,63.0,0.7,17.0,106.0,68.0,30.0,9.0
3511A,陵城艺术中心,2026,4,23,21,55.0,0.5,17.0,107.0,56.0,25.0,9.0
4292A,新河东路,2026,4,23,21,53.0,0.6,16.0,101.0,53.0,19.0,8.0
2621A,迪庆州站,2026,4,23,21,29.0,0.4,13.0,92.0,26.0,7.0,7.0
3180A,质量技术监督局,2026,4,23,21,32.0,0.4,9.0,100.0,30.0,15.0,8.0
4257A,将台街,2026,4,23,21,78.0,0.1,11.0,111.0,88.0,42.0,3.0
4309A,正龙路62号,2026,4,23,21,83.0,0.3,6.0,118.0,96.0,43.0,2.0
4071A,交通局,2026,4,23,21,63.0,0.4,19.0,90.0,68.0,22.0,7.0
4072A,第五中学,2026,4,23,21,70.0,0.3,19.0,85.0,78.0,28.0,3.0
1390A,东城石井,2026,4,23,21,11.0,0.7,19.0,21.0,11.0,7.0,5.0
1391A,南城西平,2026,4,23,21,15.0,0.6,24.0,14.0,15.0,9.0,6.0
3319A,万江金泰,2026,4,23,21,15.0,0.7,17.0,21.0,15.0,7.0,6.0
4129A,裕兴路,2026,4,23,21,9.0,0.7,9.0,26.0,6.0,1.0,5.0
4130A,教育路1号,2026,4,23,21,13.0,0.6,22.0,26.0,13.0,7.0,7.0
4131A,长怡路1号,2026,4,23,21,0.0,0.7,18.0,0.0,11.0,2.0,6.0
1666A,市环保局,2026,4,23,21,46.0,0.3,19.0,112.0,44.0,32.0,8.0
3036A,开发区管委会,2026,4,23,21,55.0,0.5,33.0,101.0,56.0,27.0,8.0
3365A,垦利区民丰路,2026,4,23,21,58.0,0.7,55.0,66.0,61.0,24.0,13.0
3498A,河口城区,2026,4,23,21,63.0,1.0,22.0,121.0,68.0,25.0,10.0
3646A,胜利站,2026,4,23,21,92.0,1.0,48.0,112.0,81.0,56.0,9.0
3734A,理想之城,2026,4,23,21,0.0,0.0,49.0,54.0,66.0,25.0,7.0
1591A,综合楼,2026,4,23,21,78.0,0.4,30.0,91.0,88.0,33.0,13.0
1592A,巴音孟克林场办事处,2026,4,23,21,79.0,0.3,30.0,93.0,90.0,35.0,6.0
1593A,康泽苑,2026,4,23,21,79.0,0.4,19.0,92.0,90.0,35.0,7.0
1594A,华泰汽车城,2026,4,23,21,80.0,0.5,42.0,64.0,92.0,32.0,6.0
1595A,奥林花园,2026,4,23,21,84.0,0.2,51.0,56.0,97.0,26.0,4.0
2436A,市政府,2026,4,23,21,22.0,0.4,27.0,42.0,22.0,10.0,8.0
2437A,赵家坝,2026,4,23,21,0.0,0.0,0.0,0.0,36.0,7.0,0.0
3654A,精准医疗中心,2026,4,23,21,19.0,0.6,8.0,60.0,19.0,7.0,4.0
2454A,湖北民院,2026,4,23,21,39.0,0.4,25.0,44.0,27.0,27.0,8.0
